id;user_id;film_id;rate;remote_film_id;name;budget;popularity;release_date;revenue;vote_average;vote_count;Action;Adventure;Animation;Comedy;Crime;Documentary;Drama;Family;Fantasy;History;Horror;Mystery;Romance;Science Fiction;TV Movie;Thriller;War;Western;Music
34;93;137;3;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
35;1040;137;2;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
36;1588;137;4;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
37;1066;137;2;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
38;1056;137;2;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
39;1543;137;2;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
40;589;137;4;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
41;1565;137;5;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
42;118;137;4;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
43;597;137;1;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
44;1560;137;3;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
45;1073;137;1;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
46;125;137;2;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
47;606;137;3;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
48;139;137;3;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
49;1222;137;2;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
50;1218;137;5;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
51;1231;137;5;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
52;131;137;4;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
53;674;137;3;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
54;673;137;3;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
55;1237;137;5;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
56;154;137;3;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
57;156;137;5;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
58;1232;137;5;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
59;1234;137;2;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
60;1781;137;4;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
61;1785;137;4;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
62;148;137;4;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
63;149;137;4;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
64;151;137;2;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
65;1255;137;5;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
66;1728;137;4;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
67;169;137;2;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
68;1732;137;1;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
69;647;137;1;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
70;1258;137;4;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
71;176;137;4;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
72;1276;137;2;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
73;656;137;3;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
74;183;137;2;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
75;180;137;4;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
76;1759;137;3;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
77;746;137;4;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
78;751;137;4;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
79;1159;137;4;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
80;1158;137;3;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
81;739;137;4;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
82;196;137;2;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
83;1163;137;0;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
84;1718;137;2;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
85;1716;137;2;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
86;1724;137;2;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
87;1722;137;1;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
88;210;137;1;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
89;712;137;2;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
90;1191;137;2;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
91;1664;137;2;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
92;1667;137;1;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
93;1677;137;5;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
94;1676;137;2;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
95;1196;137;4;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
96;254;137;0;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
97;1686;137;4;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
98;1207;137;4;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
99;251;137;4;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
100;721;137;4;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
101;1213;137;3;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
102;1691;137;1;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
103;275;137;3;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
104;1373;137;2;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
105;1372;137;4;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
106;279;137;5;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
107;817;137;5;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
108;258;137;3;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
109;1359;137;5;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
110;1354;137;4;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
111;1351;137;3;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
112;265;137;3;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
113;315;137;2;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
114;314;137;1;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
115;794;137;4;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
116;769;137;4;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
117;296;137;5;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
118;298;137;5;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
119;779;137;3;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
120;1307;137;4;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
121;343;137;4;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
122;341;137;4;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
123;337;137;3;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
124;327;137;3;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
125;1340;137;4;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
126;1816;137;2;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
127;370;137;1;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
128;1815;137;1;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
129;381;137;2;13475;Star Trek;150000000;13.93;2009;385680446;7.4;5920;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
